tmpID	Field ID	Description	abbreviation	machine_readable_name	name	description	alternative_names	group	subgroup
3-hydroxybutyrate	23474	3-Hydroxybutyrate	bOHbutyrate	bOHbutyrate	3-Hydroxybutyrate	3-Hydroxybutyrate		Ketone bodies	Ketone bodies
acetate	23475	Acetate	Acetate	Acetate	Acetate	Acetate		Ketone bodies	Ketone bodies
acetoacetate	23476	Acetoacetate	Acetoacetate	Acetoacetate	Acetoacetate	Acetoacetate		Ketone bodies	Ketone bodies
acetone	23477	Acetone	Acetone	Acetone	Acetone	Acetone		Ketone bodies	Ketone bodies
alanine	23460	Alanine	Ala	Ala	Alanine	Alanine		Amino acids	Amino acids
albumin	23479	Albumin	Albumin	Albumin	Albumin	Albumin		Fluid balance	Fluid balance
apolipoprotein a1	23440	Apolipoprotein A1	ApoA1	ApoA1	ApoA1	Apolipoprotein A1		Apolipoproteins	Apolipoproteins
apolipoprotein b	23439	Apolipoprotein B	ApoB	ApoB	ApoB	Apolipoprotein B		Apolipoproteins	Apolipoproteins
apolipoprotein b to apolipoprotein a1	23441	Apolipoprotein B to Apolipoprotein A1 ratio	ApoB/ApoA1	ApoB_by_ApoA1	ApoB/ApoA1	Ratio of apolipoprotein B to apolipoprotein A1		Apolipoproteins	Apolipoproteins
average diameter for hdl particles	23433	Average Diameter for HDL Particles	HDL size	HDL_size	HDL particle size	Average diameter for HDL particles		Lipoprotein particle sizes	Lipoprotein particle sizes
average diameter for ldl particles	23432	Average Diameter for LDL Particles	LDL size	LDL_size	LDL particle size	Average diameter for LDL particles		Lipoprotein particle sizes	Lipoprotein particle sizes
average diameter for vldl particles	23431	Average Diameter for VLDL Particles	VLDL size	VLDL_size	VLDL particle size	Average diameter for VLDL particles		Lipoprotein particle sizes	Lipoprotein particle sizes
cholesterol in chylomicrons and extremely large vldl	23484	Cholesterol in Chylomicrons and Extremely Large VLDL	XXL-VLDL-C	XXL_VLDL_C	XXL-VLDL-C	Cholesterol in chylomicrons and extremely large VLDL		Lipoprotein subclasses	Chylomicrons and extremely large VLDL
cholesterol in idl	23526	Cholesterol in IDL	IDL-C	IDL_C	IDL-C	Cholesterol in IDL		Lipoprotein subclasses	IDL
cholesterol in large hdl	23561	Cholesterol in Large HDL	L-HDL-C	L_HDL_C	L-HDL-C	Cholesterol in large HDL		Lipoprotein subclasses	Large HDL
cholesterol in large ldl	23533	Cholesterol in Large LDL	L-LDL-C	L_LDL_C	L-LDL-C	Cholesterol in large LDL		Lipoprotein subclasses	Large LDL
cholesterol in large vldl	23498	Cholesterol in Large VLDL	L-VLDL-C	L_VLDL_C	L-VLDL-C	Cholesterol in large VLDL		Lipoprotein subclasses	Large VLDL
cholesterol in medium hdl	23568	Cholesterol in Medium HDL	M-HDL-C	M_HDL_C	M-HDL-C	Cholesterol in medium HDL		Lipoprotein subclasses	Medium HDL
cholesterol in medium ldl	23540	Cholesterol in Medium LDL	M-LDL-C	M_LDL_C	M-LDL-C	Cholesterol in medium LDL		Lipoprotein subclasses	Medium LDL
cholesterol in medium vldl	23505	Cholesterol in Medium VLDL	M-VLDL-C	M_VLDL_C	M-VLDL-C	Cholesterol in medium VLDL		Lipoprotein subclasses	Medium VLDL
cholesterol in small hdl	23575	Cholesterol in Small HDL	S-HDL-C	S_HDL_C	S-HDL-C	Cholesterol in small HDL		Lipoprotein subclasses	Small HDL
cholesterol in small ldl	23547	Cholesterol in Small LDL	S-LDL-C	S_LDL_C	S-LDL-C	Cholesterol in small LDL		Lipoprotein subclasses	Small LDL
cholesterol in small vldl	23512	Cholesterol in Small VLDL	S-VLDL-C	S_VLDL_C	S-VLDL-C	Cholesterol in small VLDL		Lipoprotein subclasses	Small VLDL
cholesterol in very large hdl	23554	Cholesterol in Very Large HDL	XL-HDL-C	XL_HDL_C	XL-HDL-C	Cholesterol in very large HDL		Lipoprotein subclasses	Very large HDL
cholesterol in very large vldl	23491	Cholesterol in Very Large VLDL	XL-VLDL-C	XL_VLDL_C	XL-VLDL-C	Cholesterol in very large VLDL		Lipoprotein subclasses	Very large VLDL
cholesterol in very small vldl	23519	Cholesterol in Very Small VLDL	XS-VLDL-C	XS_VLDL_C	XS-VLDL-C	Cholesterol in very small VLDL		Lipoprotein subclasses	Very small VLDL
cholesterol to total lipids in chylomicrons and extremely large vldl	23580	Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	XXL-VLDL-C %	XXL_VLDL_C_pct	XXL-VLDL-C %	Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL		Relative lipoprotein lipid concentrations	Chylomicrons and extremely large VLDL ratios
cholesterol to total lipids in idl	23610	Cholesterol to Total Lipids in IDL percentage	IDL-C %	IDL_C_pct	IDL-C %	Cholesterol to total lipids ratio in IDL		Relative lipoprotein lipid concentrations	IDL ratios
cholesterol to total lipids in large hdl	23635	Cholesterol to Total Lipids in Large HDL percentage	L-HDL-C %	L_HDL_C_pct	L-HDL-C %	Cholesterol to total lipids ratio in large HDL		Relative lipoprotein lipid concentrations	Large HDL ratios
cholesterol to total lipids in large ldl	23615	Cholesterol to Total Lipids in Large LDL percentage	L-LDL-C %	L_LDL_C_pct	L-LDL-C %	Cholesterol to total lipids ratio in large LDL		Relative lipoprotein lipid concentrations	Large LDL ratios
cholesterol to total lipids in large vldl	23590	Cholesterol to Total Lipids in Large VLDL percentage	L-VLDL-C %	L_VLDL_C_pct	L-VLDL-C %	Cholesterol to total lipids ratio in large VLDL		Relative lipoprotein lipid concentrations	Large VLDL ratios
cholesterol to total lipids in medium hdl	23640	Cholesterol to Total Lipids in Medium HDL percentage	M-HDL-C %	M_HDL_C_pct	M-HDL-C %	Cholesterol to total lipids ratio in medium HDL		Relative lipoprotein lipid concentrations	Medium HDL ratios
cholesterol to total lipids in medium ldl	23620	Cholesterol to Total Lipids in Medium LDL percentage	M-LDL-C %	M_LDL_C_pct	M-LDL-C %	Cholesterol to total lipids ratio in medium LDL		Relative lipoprotein lipid concentrations	Medium LDL ratios
cholesterol to total lipids in medium vldl	23595	Cholesterol to Total Lipids in Medium VLDL percentage	M-VLDL-C %	M_VLDL_C_pct	M-VLDL-C %	Cholesterol to total lipids ratio in medium VLDL		Relative lipoprotein lipid concentrations	Medium VLDL ratios
cholesterol to total lipids in small hdl	23645	Cholesterol to Total Lipids in Small HDL percentage	S-HDL-C %	S_HDL_C_pct	S-HDL-C %	Cholesterol to total lipids ratio in small HDL		Relative lipoprotein lipid concentrations	Small HDL ratios
cholesterol to total lipids in small ldl	23625	Cholesterol to Total Lipids in Small LDL percentage	S-LDL-C %	S_LDL_C_pct	S-LDL-C %	Cholesterol to total lipids ratio in small LDL		Relative lipoprotein lipid concentrations	Small LDL ratios
cholesterol to total lipids in small vldl	23600	Cholesterol to Total Lipids in Small VLDL percentage	S-VLDL-C %	S_VLDL_C_pct	S-VLDL-C %	Cholesterol to total lipids ratio in small VLDL		Relative lipoprotein lipid concentrations	Small VLDL ratios
cholesterol to total lipids in very large hdl	23630	Cholesterol to Total Lipids in Very Large HDL percentage	XL-HDL-C %	XL_HDL_C_pct	XL-HDL-C %	Cholesterol to total lipids ratio in very large HDL		Relative lipoprotein lipid concentrations	Very large HDL ratios
cholesterol to total lipids in very large vldl	23585	Cholesterol to Total Lipids in Very Large VLDL percentage	XL-VLDL-C %	XL_VLDL_C_pct	XL-VLDL-C %	Cholesterol to total lipids ratio in very large VLDL		Relative lipoprotein lipid concentrations	Very large VLDL ratios
cholesterol to total lipids in very small vldl	23605	Cholesterol to Total Lipids in Very Small VLDL percentage	XS-VLDL-C %	XS_VLDL_C_pct	XS-VLDL-C %	Cholesterol to total lipids ratio in very small VLDL		Relative lipoprotein lipid concentrations	Very small VLDL ratios
cholesteryl esters in chylomicrons and extremely large vldl	23485	Cholesteryl Esters in Chylomicrons and Extremely Large VLDL	XXL-VLDL-CE	XXL_VLDL_CE	XXL-VLDL-CE	Cholesteryl esters in chylomicrons and extremely large VLDL		Lipoprotein subclasses	Chylomicrons and extremely large VLDL
cholesteryl esters in hdl	23418	Cholesteryl Esters in HDL	HDL-CE	HDL_CE	HDL-CE	Cholesteryl esters in HDL		Cholesteryl esters	Cholesteryl esters
cholesteryl esters in idl	23527	Cholesteryl Esters in IDL	IDL-CE	IDL_CE	IDL-CE	Cholesteryl esters in IDL		Lipoprotein subclasses	IDL
cholesteryl esters in large hdl	23562	Cholesteryl Esters in Large HDL	L-HDL-CE	L_HDL_CE	L-HDL-CE	Cholesteryl esters in large HDL		Lipoprotein subclasses	Large HDL
cholesteryl esters in large ldl	23534	Cholesteryl Esters in Large LDL	L-LDL-CE	L_LDL_CE	L-LDL-CE	Cholesteryl esters in large LDL		Lipoprotein subclasses	Large LDL
cholesteryl esters in large vldl	23499	Cholesteryl Esters in Large VLDL	L-VLDL-CE	L_VLDL_CE	L-VLDL-CE	Cholesteryl esters in large VLDL		Lipoprotein subclasses	Large VLDL
cholesteryl esters in ldl	23417	Cholesteryl Esters in LDL	LDL-CE	LDL_CE	LDL-CE	Cholesteryl esters in LDL		Cholesteryl esters	Cholesteryl esters
cholesteryl esters in medium hdl	23569	Cholesteryl Esters in Medium HDL	M-HDL-CE	M_HDL_CE	M-HDL-CE	Cholesteryl esters in medium HDL		Lipoprotein subclasses	Medium HDL
cholesteryl esters in medium ldl	23541	Cholesteryl Esters in Medium LDL	M-LDL-CE	M_LDL_CE	M-LDL-CE	Cholesteryl esters in medium LDL		Lipoprotein subclasses	Medium LDL
